"","id","variety","country","Weight_kg","weight_class"
"70","2018-P","Spirit","Germany",308.493420741535,"medium"
"71","2013-P","Casper","France",692.785698482551,"Heavy"
"72","2014-P","Casper","Italy",198.618585443108,"medium"
"73","2017-P","Casper","Germany",464.844524355054,"Heavy"
"74","2019-P","Rouge Vif d’Etampes","Germany",86.8457488172333,"Light"
"75","2020-P","Champion","Germany",286.095795277228,"medium"
"76","2017-P","Atlantic Giant","Italy",68.4940316456215,"Light"
"77","2020-P","Wolf","Germany",105.82497531569,"medium"
"78","2018-P","Early Giant","Germany",120.446357763712,"medium"
"79","2018-P","Dill's Atlantic","Italy",90.7494458088806,"medium"
"80","2019-P","Jack O'Lantern","Italy",434.276389058757,"medium"
"81","2021-P","Blue Hubbard","Germany",878.220215223625,"Heavy"
"82","2019-P","Wolf","Germany",225.151460002734,"medium"
"83","2017-P","Wolf","Germany",434.897418295374,"medium"
"84","2014-P","Connecticut Field","Germany",642.138812323058,"Heavy"
"85","2015-P","Casper","Germany",339.977562384241,"medium"
"86","2021-P","Autumn Gold","Germany",144.392615078041,"medium"
"87","2013-P","Big Max","Germany",96.2355581487897,"medium"
"88","2018-P","Autumn Gold","Germany",576.010284180122,"Heavy"
"89","2013-P","Champion","Germany",170.538760793722,"medium"
"90","2018-P","Big Moose","Germany",574.712008036546,"Heavy"
"91","2014-P","Prizewinner","Italy",246.953708186361,"medium"
"92","2014-P","Wolf","Italy",681.195996225733,"Heavy"
"93","2017-P","Prizewinner","Germany",299.592658119491,"medium"
"94","2017-P","Blue Hubbard","Germany",76.5306262195523,"Light"
"95","2015-P","Prizewinner","Germany",244.729977694626,"medium"
"96","2019-P","Casper","Germany",46.9616851884995,"Light"
"97","2017-P","Early Giant","Italy",256.414872569627,"medium"
"98","2013-P","Autumn Gold","Germany",380.812279419739,"medium"
"99","2016-P","Dill's Atlantic","Italy",372.348313621183,"medium"
"100","2021-P","Blue Hubbard","Germany",65.7962759849462,"Light"
"101","2016-P","Wolf","Germany",248.320276660752,"medium"
"102","2019-P","Howden","Germany",516.672370752312,"Heavy"
"103","2017-P","Dill's Atlantic","Germany",302.359248858538,"medium"
"104","2018-P","Spirit","Italy",520.214590534634,"Heavy"
"105","2017-P","Atlantic Giant","Germany",217.623002161342,"medium"
"106","2018-P","Casper","Germany",112.354980157747,"medium"
"107","2016-P","Cinderella","Germany",79.3073256094897,"Light"
"108","2015-P","Howden","Italy",371.092305828045,"medium"
"109","2013-P","Howden","Italy",105.014531395447,"medium"
"110","2019-P","Champion","Germany",88.0538470263523,"Light"
"111","2013-P","Jack O'Lantern","Germany",225.254619226439,"medium"
"112","2016-P","Cinderella","Italy",240.73056331162,"medium"
"113","2019-P","Atlantic Giant","France",92.055469082563,"medium"
"114","2017-P","Dill's Atlantic","Italy",242.119847260384,"medium"
"115","2016-P","Rouge Vif d’Etampes","Italy",126.64266425809,"medium"
"116","2015-P","Rouge Vif d’Etampes","Germany",144.652261565607,"medium"
"117","2021-P","Autumn Gold","Germany",193.832514336332,"medium"
"118","2019-P","Connecticut Field","Germany",134.010149369226,"medium"
"119","2020-P","Prizewinner","Germany",54.4970311177398,"Light"
"120","2016-P","Jack O'Lantern","Germany",378.252420685872,"medium"
"121","2018-P","Spirit","Germany",486.047137687184,"Heavy"
"122","2014-P","Wolf","France",146.268155886094,"medium"
"123","2013-P","Big Moose","Italy",251.596203753343,"medium"
"124","2020-P","Rouge Vif d’Etampes","Italy",892.487840638637,"Heavy"
"125","2016-P","Spirit","Germany",55.4696147274588,"Light"
"126","2018-P","Big Max","Germany",624.898162682023,"Heavy"
"127","2015-P","Early Giant","France",22.9145619021558,"Light"
"128","2019-P","Blue Hubbard","Italy",104.849033462907,"medium"
"129","2014-P","Early Giant","Germany",199.952723742162,"medium"
"130","2013-P","Atlantic Giant","Italy",137.469246876943,"medium"
"131","2021-P","Early Giant","Italy",465.699182979003,"Heavy"
"132","2019-P","Autumn Gold","Germany",550.962986859422,"Heavy"
"133","2014-P","Howden","Germany",368.256222801961,"medium"
"134","2013-P","Cinderella","Germany",69.6052887680752,"Light"
"135","2021-P","Jack O'Lantern","Germany",440.833686547434,"medium"
"136","2017-P","Rouge Vif d’Etampes","Italy",116.791884904767,"medium"
"137","2020-P","Rouge Vif d’Etampes","Germany",219.377099612405,"medium"
"138","2015-P","Atlantic Giant","Germany",583.160205143704,"Heavy"
"139","2019-P","Cinderella","Germany",246.844858060933,"medium"
"140","2016-P","Big Moose","Italy",238.235431662539,"medium"
"141","2019-P","Casper","Italy",68.7916873427992,"Light"
"142","2017-P","Casper","Italy",280.440867424754,"medium"
"143","2017-P","Champion","France",642.490123689204,"Heavy"
"144","2016-P","Big Moose","Germany",385.125309241624,"medium"
"145","2020-P","Cinderella","Germany",185.392934245912,"medium"
"146","2013-P","Rouge Vif d’Etampes","Germany",85.0224779902132,"Light"
"147","2021-P","Rouge Vif d’Etampes","Germany",351.480897648464,"medium"
"148","2017-P","Early Giant","Germany",220.607704399915,"medium"
"149","2020-P","Champion","Germany",35.8126540285236,"Light"
"150","2013-P","Prizewinner","Germany",109.67235354543,"medium"
"151","2018-P","Connecticut Field","Germany",378.314288762164,"medium"
"152","2015-P","Blue Hubbard","Germany",204.093134876226,"medium"
"153","2018-P","Big Max","France",186.549074698394,"medium"
"154","2021-P","Autumn Gold","Germany",39.6064204105928,"Light"
"155","2015-P","Connecticut Field","Italy",238.806400826573,"medium"
"156","2020-P","Dill's Atlantic","Italy",100.911176168063,"medium"
"157","2015-P","Howden","France",630.805555693146,"Heavy"
"158","2015-P","Casper","Italy",204.196555774128,"medium"
"159","2016-P","Prizewinner","Italy",473.386196246187,"Heavy"
"160","2019-P","Prizewinner","Italy",619.321450978941,"Heavy"
"161","2014-P","Howden","Germany",451.710118579437,"medium"
"162","2017-P","Blue Hubbard","Germany",515.47291497713,"Heavy"
"163","2013-P","Atlantic Giant","Italy",170.122655263478,"medium"
"164","2018-P","Spirit","Germany",77.2953323320196,"Light"
"165","2013-P","Rouge Vif d’Etampes","Italy",149.44311222568,"medium"
"166","2018-P","Big Max","Italy",533.560662192904,"Heavy"
"167","2015-P","Howden","Italy",241.823085322022,"medium"
"168","2017-P","Wolf","Germany",122.02574291428,"medium"
"169","2013-P","Autumn Gold","Italy",73.5272871941298,"Light"
"170","2018-P","Jack O'Lantern","Germany",152.602719887454,"medium"
"171","2013-P","Wolf","Italy",67.538763478788,"Light"
"172","2018-P","Howden","Germany",494.833564274447,"Heavy"
"173","2021-P","Rouge Vif d’Etampes","Germany",82.8338369069433,"Light"
"174","2015-P","Howden","Germany",228.26000482032,"medium"
"175","2018-P","Jack O'Lantern","France",302.159442755603,"medium"
"176","2015-P","Cinderella","Germany",208.82715880719,"medium"
"177","2015-P","Spirit","Italy",456.702014072259,"Heavy"
"178","2018-P","Big Moose","Italy",482.503362582054,"Heavy"
"179","2020-P","Howden","Germany",214.043394641453,"medium"
"180","2019-P","Autumn Gold","Germany",48.4200671021034,"Light"
"181","2015-P","Jack O'Lantern","France",306.898150247024,"medium"
"182","2017-P","Atlantic Giant","Germany",146.579652499974,"medium"
"183","2021-P","Atlantic Giant","Germany",28.4011997456456,"Light"
"184","2017-P","Rouge Vif d’Etampes","Germany",533.94707143104,"Heavy"
"185","2015-P","Connecticut Field","Germany",147.477792560598,"medium"
"186","2019-P","Big Max","Germany",263.20078987791,"medium"
"187","2017-P","Big Max","Germany",195.664447633343,"medium"
"188","2014-P","Big Max","France",55.0671514822713,"Light"
"189","2020-P","Early Giant","Germany",432.748457093993,"medium"
"190","2018-P","Dill's Atlantic","Italy",421.833073606436,"medium"
"191","2016-P","Dill's Atlantic","Germany",365.668002734152,"medium"
"192","2020-P","Cinderella","France",111.780679477545,"medium"
"193","2021-P","Early Giant","Germany",192.965137946867,"medium"
"194","2014-P","Casper","Italy",287.862053147563,"medium"
"195","2021-P","Dill's Atlantic","Germany",458.093370972071,"Heavy"
"196","2018-P","Spirit","Germany",478.672952986304,"Heavy"
"197","2015-P","Cinderella","France",541.472701759408,"Heavy"
"198","2014-P","Atlantic Giant","Germany",167.852059622921,"medium"
"199","2021-P","Jack O'Lantern","Germany",110.00545431917,"medium"
"200","2013-P","Big Moose","Germany",388.307839109654,"medium"
"201","2016-P","Champion","Italy",227.764498846602,"medium"
"202","2015-P","Dill's Atlantic","Italy",48.0435536111757,"Light"
"203","2021-P","Big Moose","Germany",195.504328874792,"medium"
"204","2018-P","Wolf","Italy",960.5718946485,"Heavy"
"205","2018-P","Jack O'Lantern","Germany",368.114756397536,"medium"
"206","2020-P","Champion","Italy",507.608198263699,"Heavy"
"207","2019-P","Atlantic Giant","France",516.994262701282,"Heavy"
"208","2019-P","Howden","Italy",252.355927090801,"medium"
"209","2021-P","Autumn Gold","Germany",558.747666763993,"Heavy"
"210","2019-P","Big Moose","Germany",80.4922165187977,"Light"
"211","2020-P","Connecticut Field","Germany",229.158465866813,"medium"
"212","2013-P","Wolf","Germany",96.7687616307438,"medium"
"213","2015-P","Prizewinner","Germany",267.665228157291,"medium"
"214","2016-P","Big Moose","France",172.767590754548,"medium"
"215","2015-P","Rouge Vif d’Etampes","Germany",281.284530694958,"medium"
"216","2021-P","Jack O'Lantern","Italy",189.826430261299,"medium"
"217","2016-P","Atlantic Giant","Germany",64.3131367508048,"Light"
"218","2016-P","Spirit","Italy",267.408405481328,"medium"
"219","2013-P","Blue Hubbard","Italy",402.620599314626,"medium"
"220","2013-P","Big Moose","Germany",448.611228465005,"medium"
"221","2021-P","Cinderella","Germany",185.433361360855,"medium"
"222","2019-P","Prizewinner","France",101.253157365264,"medium"
"223","2018-P","Jack O'Lantern","Germany",116.509184019076,"medium"
"224","2015-P","Jack O'Lantern","Germany",62.4676781206383,"Light"
"225","2013-P","Prizewinner","Italy",373.970306554734,"medium"
"226","2017-P","Atlantic Giant","Italy",548.826122299299,"Heavy"
"227","2015-P","Dill's Atlantic","Italy",462.220649483854,"Heavy"
"228","2013-P","Autumn Gold","Germany",500.395751820952,"Heavy"
"229","2019-P","Early Giant","Germany",682.565603468621,"Heavy"
"230","2017-P","Howden","Germany",562.280362804852,"Heavy"
"231","2017-P","Rouge Vif d’Etampes","Germany",276.426923713731,"medium"
"232","2017-P","Blue Hubbard","Germany",342.492391182029,"medium"
"233","2018-P","Howden","Italy",542.693761174845,"Heavy"
"234","2017-P","Rouge Vif d’Etampes","Italy",369.307483693607,"medium"
"235","2018-P","Atlantic Giant","Italy",291.025639746051,"medium"
"236","2021-P","Dill's Atlantic","Italy",1035.20210823863,"Heavy"
"237","2017-P","Early Giant","Germany",554.276274499285,"Heavy"
"238","2018-P","Early Giant","Italy",315.825333966929,"medium"
"239","2015-P","Blue Hubbard","Italy",347.906256880624,"medium"
"240","2018-P","Rouge Vif d’Etampes","Germany",73.1905032519602,"Light"
"241","2014-P","Wolf","Germany",529.45168346905,"Heavy"
"242","2019-P","Big Moose","Italy",388.184932333173,"medium"
"243","2018-P","Jack O'Lantern","Italy",250.41369022391,"medium"
"244","2018-P","Early Giant","Germany",569.158298634004,"Heavy"
"245","2015-P","Champion","Italy",507.997002171204,"Heavy"
"246","2017-P","Early Giant","Germany",808.801944714647,"Heavy"
"247","2019-P","Wolf","Germany",528.015601355461,"Heavy"
"248","2018-P","Early Giant","Germany",117.775569108423,"medium"
"249","2013-P","Dill's Atlantic","Italy",216.895333638402,"medium"
"250","2019-P","Cinderella","Italy",47.2732021943923,"Light"
"251","2016-P","Dill's Atlantic","Germany",272.841569064305,"medium"
"252","2013-P","Spirit","Germany",800.438890040142,"Heavy"
"253","2016-P","Blue Hubbard","Germany",298.625823581901,"medium"
"254","2018-P","Big Moose","Germany",363.829253106759,"medium"
"255","2018-P","Casper","Italy",713.084187420195,"Heavy"
"256","2021-P","Blue Hubbard","France",966.637895434822,"Heavy"
"257","2021-P","Atlantic Giant","Germany",728.864121558027,"Heavy"
"258","2014-P","Cinderella","Italy",241.323265120139,"medium"
"259","2014-P","Wolf","Germany",126.956930614192,"medium"
"260","2017-P","Cinderella","Italy",269.159724455688,"medium"
"261","2016-P","Cinderella","Germany",235.258233771774,"medium"
"262","2020-P","Big Max","Germany",135.912924040991,"medium"
"263","2013-P","Dill's Atlantic","France",284.598472864661,"medium"
"264","2018-P","Atlantic Giant","Germany",88.2907336638585,"Light"
"265","2019-P","Early Giant","Germany",67.0500569864409,"Light"
"266","2021-P","Connecticut Field","Germany",339.488164694012,"medium"
"267","2017-P","Champion","Germany",643.844987091428,"Heavy"
"268","2014-P","Big Max","Italy",460.216801272586,"Heavy"
"269","2020-P","Spirit","Italy",68.6050299652889,"Light"
"270","2017-P","Cinderella","Germany",301.139220358219,"medium"
"271","2017-P","Early Giant","Germany",472.671712912297,"Heavy"
"272","2016-P","Big Moose","Germany",400.771683886144,"medium"
"273","2021-P","Atlantic Giant","Germany",30.7056357495564,"Light"
"274","2015-P","Howden","France",180.120811187591,"medium"
"275","2015-P","Wolf","Italy",238.842823175642,"medium"
"276","2016-P","Blue Hubbard","France",110.333256574291,"medium"
"277","2021-P","Atlantic Giant","Germany",419.001878623403,"medium"
"278","2019-P","Prizewinner","Germany",592.202903579015,"Heavy"
"279","2013-P","Rouge Vif d’Etampes","Germany",321.191809824117,"medium"
"280","2020-P","Casper","Germany",465.007581780967,"Heavy"
"281","2014-P","Cinderella","Italy",286.142806795862,"medium"
"282","2021-P","Jack O'Lantern","Germany",78.0369886691058,"Light"
"283","2016-P","Casper","Germany",146.74466636559,"medium"
"284","2014-P","Dill's Atlantic","Italy",25.7922492948667,"Light"
"285","2014-P","Champion","Germany",281.715902706796,"medium"
"286","2013-P","Connecticut Field","Germany",169.868541573657,"medium"
"287","2021-P","Howden","Germany",67.5322013782048,"Light"
"288","2020-P","Big Max","Italy",114.370833180754,"medium"
"289","2017-P","Howden","Italy",382.450166081873,"medium"
"290","2017-P","Early Giant","Italy",183.391127646082,"medium"
"291","2013-P","Autumn Gold","Italy",541.933046785761,"Heavy"
"292","2017-P","Spirit","France",469.373401301783,"Heavy"
"293","2018-P","Big Max","France",314.15782402012,"medium"
"294","2020-P","Spirit","Germany",37.5500850822974,"Light"
"295","2020-P","Howden","France",39.3880859270237,"Light"
"296","2018-P","Big Max","Germany",261.467233980803,"medium"
"297","2013-P","Atlantic Giant","Germany",67.069204853047,"Light"
"298","2021-P","Spirit","Germany",754.182867175019,"Heavy"
"299","2021-P","Big Max","Germany",120.573184828369,"medium"
"300","2014-P","Champion","Germany",211.790734255144,"medium"
"301","2018-P","Prizewinner","France",173.14924970998,"medium"
"302","2017-P","Prizewinner","Germany",105.076869622751,"medium"
"303","2017-P","Wolf","Germany",318.66972916609,"medium"
"304","2019-P","Blue Hubbard","Germany",378.495269957065,"medium"
"305","2015-P","Connecticut Field","Italy",406.174206619737,"medium"
"306","2013-P","Casper","Germany",426.469400476573,"medium"
"307","2017-P","Blue Hubbard","France",259.430506359967,"medium"
"308","2019-P","Rouge Vif d’Etampes","Germany",240.031710824459,"medium"
"309","2021-P","Rouge Vif d’Etampes","Germany",201.529571340295,"medium"
"310","2017-P","Big Moose","Germany",356.740812697273,"medium"
"311","2014-P","Early Giant","Italy",224.705283599803,"medium"
"312","2016-P","Prizewinner","France",47.015710099248,"Light"
"313","2020-P","Dill's Atlantic","Germany",206.814149021195,"medium"
"314","2021-P","Big Moose","Italy",24.4260384675104,"Light"
"315","2021-P","Casper","Germany",111.988612703373,"medium"
"316","2018-P","Prizewinner","Italy",403.570171931649,"medium"
"317","2019-P","Prizewinner","Germany",167.277976544837,"medium"
"318","2016-P","Cinderella","Italy",104.917788279383,"medium"
"319","2014-P","Cinderella","Germany",117.590717315748,"medium"
"320","2016-P","Connecticut Field","France",257.548309801556,"medium"
"321","2016-P","Champion","Germany",355.021707023794,"medium"
"322","2017-P","Casper","Germany",231.703029066218,"medium"
"323","2014-P","Spirit","Italy",256.302965365406,"medium"
"324","2019-P","Spirit","Germany",323.185386069248,"medium"
"325","2020-P","Blue Hubbard","Italy",359.937967558926,"medium"
"326","2014-P","Big Moose","Germany",405.619967772368,"medium"
"327","2014-P","Connecticut Field","Germany",90.2917893622401,"Light"
"328","2020-P","Cinderella","Germany",58.4771910915703,"Light"
"329","2017-P","Dill's Atlantic","Germany",197.094958578119,"medium"
"330","2020-P","Dill's Atlantic","Germany",296.856942720447,"medium"
"331","2013-P","Rouge Vif d’Etampes","Italy",486.044642046466,"Heavy"
"332","2018-P","Big Max","Italy",255.016884881491,"medium"
"333","2019-P","Rouge Vif d’Etampes","Germany",256.170241138443,"medium"
"334","2015-P","Rouge Vif d’Etampes","Germany",99.1467885591419,"medium"
"335","2014-P","Autumn Gold","Germany",645.196514037301,"Heavy"
"336","2015-P","Atlantic Giant","Italy",172.084363082047,"medium"
"337","2017-P","Prizewinner","Italy",241.578806285289,"medium"
"338","2018-P","Rouge Vif d’Etampes","Germany",245.494050163069,"medium"
"339","2020-P","Big Max","France",281.632301478674,"medium"
"340","2018-P","Prizewinner","Italy",441.029501952739,"medium"
"341","2019-P","Howden","Germany",249.858431911321,"medium"
"342","2017-P","Casper","Italy",426.293129325101,"medium"
"343","2016-P","Big Moose","Germany",129.557515357538,"medium"
"344","2021-P","Atlantic Giant","Germany",27.6035380038643,"Light"
"345","2013-P","Spirit","Germany",262.594847900875,"medium"
"346","2015-P","Early Giant","Germany",522.82986641414,"Heavy"
"347","2017-P","Champion","Germany",290.851994139129,"medium"
"348","2020-P","Dill's Atlantic","Italy",940.074709426243,"Heavy"
"349","2019-P","Prizewinner","Italy",447.581703465995,"medium"
"350","2013-P","Spirit","Germany",190.483851032398,"medium"
"351","2018-P","Cinderella","Italy",380.630482792316,"medium"
"352","2019-P","Early Giant","Germany",240.90321592193,"medium"
"353","2014-P","Autumn Gold","Germany",180.611498360276,"medium"
"354","2021-P","Big Max","Germany",465.33118327631,"Heavy"
"355","2015-P","Cinderella","Italy",585.394976854571,"Heavy"
"356","2020-P","Connecticut Field","Germany",652.640365777796,"Heavy"
"357","2016-P","Connecticut Field","France",194.19735699224,"medium"
"358","2019-P","Wolf","Italy",82.9211397287949,"Light"
"359","2016-P","Blue Hubbard","Italy",622.318630733253,"Heavy"
"360","2019-P","Big Moose","Italy",250.377228308147,"medium"
"361","2016-P","Jack O'Lantern","Germany",236.594430283786,"medium"
"362","2014-P","Champion","Germany",101.2141675204,"medium"
"363","2015-P","Cinderella","Germany",293.464980524947,"medium"
"364","2020-P","Blue Hubbard","Germany",386.686996728322,"medium"
"365","2020-P","Spirit","Italy",405.534583502217,"medium"
"366","2018-P","Atlantic Giant","Germany",488.834251847044,"Heavy"
"367","2016-P","Autumn Gold","Italy",78.3700218453204,"Light"
"368","2018-P","Rouge Vif d’Etampes","Germany",108.202424664561,"medium"
"369","2018-P","Big Max","Germany",561.21766245771,"Heavy"
"370","2018-P","Howden","Italy",672.316871391644,"Heavy"
"371","2019-P","Dill's Atlantic","Italy",448.262359460679,"medium"
"372","2021-P","Cinderella","Germany",218.698215584887,"medium"
"373","2014-P","Early Giant","Germany",290.603946303891,"medium"
"374","2014-P","Rouge Vif d’Etampes","France",44.0674419243818,"Light"
"375","2018-P","Howden","Italy",271.470018746097,"medium"
"376","2013-P","Jack O'Lantern","Germany",446.530922545368,"medium"
"377","2019-P","Autumn Gold","Germany",642.350135535431,"Heavy"
"378","2021-P","Big Max","Germany",107.207391025416,"medium"
"379","2018-P","Wolf","France",324.057126821462,"medium"
"380","2017-P","Jack O'Lantern","Italy",394.721911842678,"medium"
"381","2019-P","Champion","Germany",97.985615046363,"medium"
"382","2017-P","Wolf","Germany",65.811100938126,"Light"
"383","2021-P","Cinderella","Germany",199.762323754053,"medium"
"384","2015-P","Champion","Germany",442.419282227678,"medium"
"385","2019-P","Blue Hubbard","Germany",148.608329024682,"medium"
"386","2020-P","Rouge Vif d’Etampes","Germany",564.775910186974,"Heavy"
"387","2018-P","Early Giant","Italy",195.011296322247,"medium"
"388","2015-P","Wolf","Italy",396.501919972608,"medium"
"389","2020-P","Dill's Atlantic","Italy",194.511818104238,"medium"
"390","2017-P","Connecticut Field","Italy",288.192158581032,"medium"
"391","2017-P","Connecticut Field","Germany",472.804318770757,"Heavy"
"392","2014-P","Spirit","Germany",487.232104446605,"Heavy"
"393","2019-P","Big Moose","France",518.089553958897,"Heavy"
"394","2014-P","Blue Hubbard","Germany",288.87790593325,"medium"
"395","2014-P","Atlantic Giant","Germany",252.677396708357,"medium"
"396","2019-P","Early Giant","Germany",404.469294807264,"medium"
"397","2021-P","Rouge Vif d’Etampes","Italy",93.9679368971104,"medium"
"398","2016-P","Dill's Atlantic","Italy",178.501216182343,"medium"
"399","2019-P","Blue Hubbard","Germany",269.19361395666,"medium"
"400","2015-P","Cinderella","Italy",215.843612508231,"medium"
"401","2016-P","Prizewinner","Germany",487.237444193229,"Heavy"
"402","2016-P","Cinderella","Italy",40.6314582563812,"Light"
"403","2018-P","Wolf","Germany",199.307077534911,"medium"
"404","2015-P","Spirit","Germany",41.2726083672338,"Light"
"405","2015-P","Blue Hubbard","Germany",544.424507076839,"Heavy"
"406","2021-P","Spirit","Italy",529.99151838858,"Heavy"
"407","2017-P","Spirit","France",257.718923173683,"medium"
"408","2018-P","Spirit","Italy",98.9765182553488,"medium"
"409","2014-P","Big Moose","Germany",253.016395183764,"medium"
"410","2018-P","Wolf","Germany",199.004745711289,"medium"
"411","2015-P","Jack O'Lantern","Germany",595.443447970751,"Heavy"
"412","2013-P","Spirit","Germany",559.769372006335,"Heavy"
"413","2014-P","Atlantic Giant","Germany",167.927226659919,"medium"
"414","2017-P","Blue Hubbard","Germany",208.465607337317,"medium"
"415","2014-P","Cinderella","Italy",330.6527930401,"medium"
"416","2019-P","Early Giant","Germany",119.52014863152,"medium"
"417","2020-P","Dill's Atlantic","Germany",91.1792929154847,"medium"
"418","2019-P","Autumn Gold","Germany",229.606145793204,"medium"
"419","2016-P","Early Giant","Italy",699.972013622808,"Heavy"
"420","2016-P","Jack O'Lantern","France",457.646636826287,"Heavy"
"421","2018-P","Jack O'Lantern","Italy",189.928534105187,"medium"
"422","2018-P","Rouge Vif d’Etampes","Germany",364.219018090836,"medium"
"423","2014-P","Connecticut Field","Italy",312.579407780377,"medium"
"424","2015-P","Early Giant","Italy",496.60578277636,"Heavy"
"425","2018-P","Blue Hubbard","Italy",182.886706376535,"medium"
"426","2019-P","Wolf","Germany",460.76675055617,"Heavy"
"427","2019-P","Autumn Gold","France",177.857273505617,"medium"
"428","2018-P","Cinderella","Germany",502.800003711609,"Heavy"
"429","2021-P","Big Moose","Germany",132.96632129686,"medium"
"430","2015-P","Champion","Germany",551.930722227361,"Heavy"
"431","2013-P","Cinderella","France",384.13260600639,"medium"
"432","2018-P","Dill's Atlantic","France",222.622159209865,"medium"
"433","2014-P","Early Giant","Italy",271.036104543654,"medium"
"434","2018-P","Jack O'Lantern","Germany",377.611574618701,"medium"
"435","2015-P","Cinderella","Germany",325.654750548464,"medium"
"436","2020-P","Champion","Germany",101.562017513613,"medium"
"437","2021-P","Howden","Germany",156.03725850278,"medium"
"438","2019-P","Big Moose","Italy",612.475745223834,"Heavy"
"439","2013-P","Blue Hubbard","France",75.8572082403483,"Light"
"440","2019-P","Blue Hubbard","Germany",70.6616594464515,"Light"
"441","2017-P","Champion","Germany",102.455254047839,"medium"
